# az ab Ms amp Vgr dist
238.263 268.012 3.25283 315.896 2.85872 1119.63
239.4 273.613 3.25356 320.591 2.85325 1102.66
240.572 277.62 3.25174 325.033 2.84468 1086.13
313.042 336.423 3.33291 419.423 2.82949 1081.55
314.226 325.339 3.32648 416.949 2.82738 1097.99
315.375 310.602 3.31458 408.572 2.82527 1114.88
236.418 262.205 3.24325 313.887 2.85625 1119.51
237.529 271.948 3.25054 321.109 2.85516 1101.9
238.676 283.776 3.26057 333.076 2.85245 1084.71
314.825 324.618 3.31815 419.439 2.82467 1083.07
315.977 307.664 3.30332 404.566 2.82301 1100.25
317.094 293.007 3.29069 382.898 2.82155 1117.86
234.573 254.592 3.23088 316.331 2.84897 1120.37
235.656 268.411 3.24497 327.478 2.85199 1102.14
236.775 281.395 3.25671 327.605 2.85192 1084.31
316.597 306.969 3.29522 402.647 2.81986 1085.78
317.716 294.655 3.28624 378.768 2.81837 1103.69
318.799 286.731 3.28329 365.796 2.81691 1121.99
232.729 249.322 3.22269 297.622 2.84075 1122.23
233.783 260.353 3.23235 314.026 2.84189 1103.4
234.872 272.907 3.24372 335.69 2.84404 1084.94
318.356 296.858 3.2826 375.37 2.81503 1089.69
319.438 290.299 3.28202 375.33 2.81297 1108.29
231.913 254.353 3.22333 310.566 2.83322 1105.66
232.971 258.089 3.22029 312.436 2.8373 1086.59
319.015 298.141 3.27762 375.199 2.81039 1075.87
320.097 291.321 3.27693 377.768 2.80882 1094.77
321.141 279.336 3.26809 371.265 2.80986 1114.04
230.049 263.132 3.23966 319.27 2.82044 1108.94
231.074 263.472 3.23059 319.699 2.82495 1089.28
320.773 290.556 3.26919 377.531 2.80544 1081.43
321.815 277.069 3.2582 366.85 2.80753 1101
322.821 268.371 3.25403 341.97 2.80912 1120.91
228.195 254.818 3.2278 294.983 2.81142 1113.23
229.185 269.541 3.24231 322.979 2.81525 1092.99
322.507 277.768 3.25298 360.388 2.80466 1088.16
323.508 271.976 3.25374 333.93 2.8054 1108.36
226.354 280.657 3.27231 292.218 2.78995 1118.51
227.308 258.524 3.22651 273.531 2.80419 1097.73
228.298 265.596 3.22811 307.976 2.80957 1077.25
323.218 282.397 3.25388 349.963 2.80174 1075.52
324.214 280.653 3.26134 332.113 2.80076 1096.02
325.173 282.044 3.27363 350.02 2.79987 1116.83
224.528 366.284 3.39098 446.042 2.76482 1124.79
225.445 337.914 3.34563 390.698 2.77521 1103.47
226.398 295.942 3.27768 310.337 2.78948 1082.45
324.937 290.583 3.27045 344.299 2.79548 1083.88
325.889 294.1 3.28605 368.774 2.79662 1104.98
223.599 395.692 3.41747 494.498 2.75054 1110.22
224.513 377.629 3.38662 469.094 2.76207 1088.68
326.623 305.496 3.29686 387.649 2.79402 1093.35
327.532 313.295 3.31839 412.883 2.79438 1115.01
221.774 412.536 3.43933 566.243 2.73007 1117.96
222.648 403.728 3.41921 539.112 2.74001 1095.91
327.374 323.062 3.3155 419.115 2.78914 1081.94
328.273 336.684 3.34425 456.089 2.78874 1103.89
220.806 382.441 3.39972 504.133 2.72464 1104.15
221.675 398.201 3.40628 540.379 2.73266 1081.86
329.032 356.368 3.36358 493.671 2.78431 1093
329.886 354.342 3.37208 494.445 2.78938 1115.47
218.988 265.718 3.24606 355.469 2.74253 1113.36
219.815 319.84 3.31544 385.653 2.73346 1090.6
329.807 370.555 3.37527 499.319 2.78245 1082.34
330.649 355.091 3.36795 462.748 2.78965 1105.08
217.197 257.392 3.23715 351.23 2.75321 1123.54
217.983 260.663 3.23137 367.284 2.74987 1100.33
218.802 276.273 3.24527 374.476 2.74665 1077.34
331.429 347.537 3.35364 441.413 2.79126 1094.95
332.225 336.377 3.35079 431.442 2.79875 1118.17
216.18 267.562 3.24793 343.646 2.76133 1111.03
216.956 263.08 3.22911 356.667 2.75889 1087.6
332.225 341.534 3.3412 437.255 2.7913 1085.06
333.007 331.911 3.34032 437.569 2.79794 1108.54
214.408 242.065 3.21007 279.42 2.77374 1122.66
215.141 263.094 3.23466 315.766 2.77026 1098.82
215.907 265.92 3.22759 338.852 2.76576 1075.16
333.036 338.377 3.33238 440.314 2.78908 1075.44
333.804 329.117 3.33207 425.446 2.79661 1099.17
334.539 309.492 3.31699 382.329 2.80522 1123.08
213.36 252.458 3.22268 299.123 2.77821 1110.99
214.082 253.241 3.21222 298.812 2.77686 1086.93
334.616 321.113 3.31689 385.554 2.7985 1090.06
335.335 300.236 3.29951 353.466 2.81047 1114.21
211.614 300.134 3.30413 376.106 2.77982 1124.08
212.292 286.413 3.27194 354.921 2.77972 1099.64
