# dist ab Ms amp Vgr az
3291.67 47.1202 3.16845 94.3019 2.94573 300.122
3291.89 47.3615 3.17072 90.9572 2.94284 300.628
3273.56 47.4293 3.16725 94.459 2.94576 300.124
3273.87 47.8968 3.17158 90.6786 2.94307 300.632
3255.45 47.7131 3.16578 95.4242 2.94571 300.127
3255.86 48.2094 3.17036 91.1252 2.94321 300.638
3237.34 48.0141 3.16444 95.9723 2.94558 300.131
3237.84 48.5699 3.16955 91.5905 2.94324 300.645
3219.24 48.7668 3.1671 96.2186 2.9454 300.136
3219.83 48.3493 3.1635 91.8316 2.94319 300.653
3201.13 49.6033 3.17039 97.186 2.94503 300.143
3201.82 48.8017 3.16347 92.7744 2.94292 300.662
3183.03 49.8136 3.16811 96.8089 2.94468 300.15
3183.81 49.065 3.16171 92.8219 2.94259 300.672
3164.92 50.2298 3.16759 97.0982 2.94433 300.159
3165.81 49.6507 3.16276 93.6961 2.94218 300.684
3146.82 50.3781 3.16473 97.4946 2.94413 300.169
3147.8 50.1454 3.16294 94.38 2.94187 300.696
3128.72 51.4224 3.16948 98.8938 2.94381 300.181
3129.8 50.6921 3.16352 95.6874 2.94148 300.71
3110.62 52.1256 3.1712 99.4119 2.94344 300.193
3111.8 50.8725 3.16091 96.3248 2.94107 300.726
3092.53 52.6144 3.17107 99.6304 2.94307 300.207
3093.81 50.8801 3.15681 96.9209 2.94065 300.743
3074.44 52.8768 3.16903 100.001 2.94273 300.223
3075.82 51.7806 3.16025 97.7011 2.94022 300.761
3056.35 53.1655 3.16717 100.008 2.94243 300.239
3057.83 52.5265 3.16227 98.0505 2.93983 300.78
3038.26 53.9908 3.16963 100.547 2.94208 300.257
3039.84 53.1823 3.16345 99.0333 2.93947 300.801
3020.18 54.6614 3.17074 101.533 2.94178 300.276
3021.86 53.6548 3.16306 100.393 2.93901 300.823
3002.1 54.9934 3.16911 102.254 2.94138 300.297
3003.88 54.0124 3.16171 101.208 2.93847 300.847
2984.03 55.0161 3.16501 102.518 2.94095 300.319
2985.91 54.3669 3.1603 101.4 2.93806 300.872
2965.96 55.9497 3.16802 103.554 2.94069 300.343
2967.94 55.7598 3.16702 102.621 2.93778 300.898
2947.89 56.9128 3.17112 104.428 2.94047 300.368
2949.98 56.6784 3.16983 103.512 2.93745 300.926
2929.83 56.8924 3.16664 104.458 2.94019 300.395
2932.02 56.9571 3.16766 103.009 2.93702 300.956
2911.77 57.1895 3.16456 105.888 2.9399 300.423
2914.07 57.5067 3.16752 103.106 2.93678 300.987
2893.72 57.8587 3.16525 107.747 2.93968 300.452
2875.68 59.1038 3.17013 109.721 2.93943 300.484
2857.64 60.156 3.1734 111.265 2.9392 300.517
2839.61 60.588 3.1721 111.701 2.93905 300.551
2819 63.2558 3.18575 116.77 2.94072 300.006
2821.58 60.954 3.17029 112.356 2.93894 300.587
2800.87 63.8437 3.1853 117.034 2.94062 300.041
2803.56 61.737 3.17139 112.77 2.93875 300.625
2782.75 63.9344 3.18143 117.005 2.94041 300.077
2785.55 62.1671 3.16995 112.901 2.93853 300.665
2764.64 64.2117 3.17881 118.28 2.94018 300.115
2767.54 62.6879 3.1691 114.099 2.93828 300.706
2746.53 65.6848 3.18414 119.698 2.93991 300.155
2749.55 63.2887 3.16875 115.324 2.93797 300.749
2728.43 66.3679 3.18409 119.804 2.93974 300.196
2731.56 63.5611 3.16611 115.984 2.93782 300.794
2710.34 66.8893 3.18293 120.144 2.93963 300.24
2713.58 64.5707 3.16843 117.455 2.93773 300.841
2692.26 66.2335 3.17408 120.102 2.93953 300.285
2695.61 65.2004 3.1681 118.565 2.93752 300.89
2674.18 67.1954 3.17575 119.802 2.93947 300.332
2677.64 65.672 3.16667 119.024 2.9372 300.94
2656.12 68.1403 3.1772 120.21 2.93933 300.381
2659.69 66.3137 3.16632 119.417 2.93691 300.993
2638.06 68.787 3.17668 120.639 2.93917 300.432
2620.01 68.7229 3.17162 120.901 2.93891 300.485
2601.98 68.9954 3.16868 120.54 2.93872 300.54
2583.95 69.9147 3.16974 121.152 2.93841 300.597
2562.05 72.3546 3.17892 129.501 2.9403 300.024
2565.93 70.2489 3.16711 120.979 2.93801 300.656
2543.93 73.1946 3.17917 130.449 2.93979 300.082
2547.93 70.9975 3.16699 121.975 2.93755 300.718
2525.82 73.7666 3.17777 131.737 2.93946 300.142
2529.94 71.6264 3.16607 122.977 2.93718 300.782
2507.72 74.9613 3.17995 133.248 2.93907 300.204
2511.96 72.2396 3.16502 124.149 2.93679 300.847
2489.63 75.9212 3.18066 133.409 2.93862 300.268
2493.99 73.1258 3.16553 124.209 2.93653 300.916
2471.56 76.7714 3.18066 133.898 2.93807 300.334
2476.03 74.1934 3.16702 125.039 2.93615 300.986
2453.49 77.1382 3.17787 133.658 2.9376 300.403
2435.44 77.7072 3.17618 133.808 2.93721 300.475
2417.41 79.1885 3.17948 134.755 2.9368 300.548
2399.38 80.2942 3.18058 135.668 2.93625 300.625
2376.58 81.2891 3.17967 139.376 2.93833 300.028
2381.38 80.9561 3.1792 135.681 2.93574 300.703
2358.46 82.5259 3.18122 139.534 2.9378 300.105
2363.38 80.9687 3.17431 134.815 2.9353 300.785
2340.36 83.0863 3.17913 139.561 2.93731 300.185
2345.4 80.673 3.16773 134.664 2.93495 300.869
2322.27 82.7891 3.17252 138.772 2.93684 300.267
2327.44 81.851 3.16902 135 2.93451 300.956
2304.19 83.3966 3.17063 139.111 2.93643 300.353
2286.13 84.735 3.17245 140.286 2.93585 300.44
2268.09 85.4454 3.17095 140.699 2.93519 300.531
2250.07 85.6171 3.16668 140.314 2.93471 300.625
2226.55 89.1369 3.17743 149.697 2.93597 300.007
