# az ab Ms amp Vgr dist
271.383 666.622 3.26145 639.561 2.78089 523.553
274.426 701.61 3.28311 656.195 2.77585 522.959
277.468 660.089 3.25743 614.914 2.78613 523.834
258.936 592.265 3.20658 579.851 2.76904 519.78
261.934 607.785 3.21174 595.55 2.77046 513.302
265 624.955 3.21907 589.619 2.77372 508.256
268.119 635.343 3.22282 624.994 2.77725 504.686
271.272 672.587 3.24558 645.793 2.77307 502.622
274.442 703.093 3.26433 641.973 2.76908 502.085
277.609 677.122 3.24894 631.829 2.77713 503.079
280.754 674.081 3.24939 631.392 2.78027 505.595
283.859 662.495 3.24569 617.606 2.78361 509.611
286.907 672.866 3.2576 659.082 2.77798 515.092
289.884 634.006 3.23821 601.766 2.7769 521.992
252.358 629.37 3.2302 607.333 2.74633 516.817
255.282 648.661 3.23438 629.456 2.74618 507.355
258.308 622.343 3.20862 599.253 2.75529 499.255
261.425 632.564 3.20921 603.486 2.75792 492.586
264.618 641.205 3.21002 585.517 2.76404 487.406
267.869 648.328 3.2112 629.326 2.76713 483.762
271.159 680.153 3.22995 647.546 2.76354 481.691
274.466 710.999 3.24874 638.992 2.76089 481.212
277.769 690.947 3.23743 631.818 2.76731 482.331
281.046 675.869 3.23054 619.146 2.77145 485.036
284.277 677.228 3.23562 623.031 2.77326 489.302
287.442 683.547 3.24532 672.889 2.76715 495.089
290.526 650.234 3.23064 609.323 2.76857 502.343
293.513 662.708 3.24714 612.37 2.76143 511.004
296.394 639.245 3.24086 610.701 2.75812 521
245.782 673.972 3.26324 647.631 2.72932 520.357
248.556 684.593 3.25842 651.043 2.72842 508.015
251.46 655.521 3.22891 626.781 2.73302 496.915
254.489 673.231 3.23092 635.48 2.73232 487.143
257.633 651.354 3.20825 611.856 2.74027 478.779
288.029 709.905 3.24198 681.781 2.75353 475.147
291.227 673.26 3.22662 626.331 2.7569 482.781
294.316 685.334 3.2433 630.439 2.75068 491.864
297.285 657.819 3.23565 616.564 2.74888 502.318
300.127 656.449 3.24591 623.833 2.74147 514.06
241.925 694.296 3.2714 663.833 2.72191 515.278
244.634 699.19 3.26121 659.015 2.71984 501.35
247.491 713.946 3.25786 667.569 2.71712 488.599
250.494 687.912 3.2303 642.924 2.71942 477.122
298.252 687.896 3.23696 645.864 2.73813 483.792
301.17 687.886 3.249 647.008 2.72887 496.047
303.941 681.133 3.25765 662.96 2.72233 509.521
306.564 672.577 3.26583 672.473 2.71398 524.12
238.005 693.062 3.26792 658.565 2.72096 512.404
240.623 715.378 3.26686 674.388 2.71324 496.917
243.403 722.655 3.25711 672.439 2.70962 482.528
302.298 717.838 3.24992 664.616 2.71803 478.24
305.131 715.887 3.26265 680.027 2.71232 492.273
307.802 710.428 3.27396 690.967 2.70644 507.439
310.313 695.868 3.28017 697.42 2.70203 523.638
234.054 684.82 3.26213 656.312 2.72232 511.782
236.555 714.063 3.26399 669.7 2.71355 494.788
239.228 734.078 3.2602 680.419 2.7054 478.799
306.413 736.244 3.25794 689.274 2.70528 475.285
309.129 726.618 3.26791 685.819 2.69912 491.045
311.671 721.577 3.2811 715.089 2.69512 507.834
230.106 677.678 3.25914 649.685 2.72268 513.431
232.467 704.728 3.25849 665.361 2.71439 495.003
235.005 731.988 3.25763 675.218 2.70588 477.475
313.12 751.903 3.28406 730.2 2.68827 492.371
315.508 726.943 3.28703 737.402 2.68812 510.692
226.194 646.672 3.24247 621.527 2.72144 517.339
228.395 683.152 3.24748 639.615 2.71427 497.569
230.775 714.649 3.24834 652.804 2.70658 478.59
314.667 769.246 3.27899 739.667 2.68449 477.282
317.062 724.467 3.27167 709.347 2.68847 496.222
319.278 689.238 3.26886 684.091 2.69421 515.963
222.349 612.884 3.22486 603.71 2.71596 523.465
224.377 652.73 3.23241 620.211 2.70929 502.46
226.578 693.15 3.23862 638.772 2.70319 482.135
318.712 733.524 3.26325 703.183 2.68486 482.181
320.916 725.74 3.27853 722.068 2.69025 502.531
322.946 714.753 3.29173 737.286 2.69074 523.564
220.446 626.859 3.22168 612.155 2.70269 509.619
222.456 661.546 3.22423 620.399 2.69716 488.069
322.647 745.591 3.27766 730.885 2.68709 489.577
