# az ab Ms amp Vgr dist
324.647 704.692 3.274 718.046 2.69467 511.196
216.63 634.828 3.23595 625.691 2.69591 518.961
218.442 650.119 3.22474 626.741 2.68863 496.316
324.475 763.488 3.27559 730.905 2.68752 477.139
326.436 715.85 3.2695 705.993 2.69452 499.349
328.229 692.125 3.2764 690.034 2.70296 522.092
214.568 653.482 3.23704 628.96 2.68515 506.773
216.336 677.389 3.23009 651.937 2.6766 483.601
328.313 735.249 3.2701 709.552 2.69548 488.059
330.052 708.629 3.27657 697.01 2.70372 511.351
210.854 629.816 3.23284 594.984 2.68891 519.315
212.41 657.375 3.22849 624.695 2.67696 495.219
330.281 757.699 3.27251 710.84 2.69655 477.368
331.955 724.479 3.27649 708.646 2.7049 501.201
208.668 638.91 3.22929 584.801 2.68258 508.921
210.156 663.435 3.22179 606.083 2.66901 484.346
333.938 739.398 3.2761 723.573 2.70916 491.677
335.385 687.858 3.26839 694.245 2.71823 516.385
205.123 630.272 3.23802 565.685 2.68412 524.555
206.397 649.402 3.22709 591.729 2.67265 499.242
336 746.561 3.27153 733.236 2.70984 482.817
337.361 703.566 3.27027 692.79 2.72053 507.993
202.857 635.861 3.23393 580.259 2.67605 516.041
204.043 671.42 3.23288 598.546 2.66156 490.32
339.403 665.598 3.23879 633.813 2.72866 500.278
200.52 641.897 3.23073 606.233 2.66436 508.303
201.608 678.889 3.22965 622.844 2.64803 482.196
341.51 686.087 3.24516 636.277 2.72644 493.273
342.552 664.018 3.25597 632.552 2.73886 519.491
198.117 641.01 3.2235 592.195 2.65367 501.375
343.675 681.581 3.23614 611.604 2.72945 487.008
344.61 649.652 3.24093 592.161 2.74368 513.572
194.88 614.745 3.22498 595.701 2.65653 522.175
195.653 652.011 3.225 609.21 2.64055 495.293
345.896 699.386 3.24189 629.786 2.72642 481.513
346.715 659.63 3.24264 619.765 2.74067 508.387
192.477 613.504 3.21949 589.575 2.64567 517.224
193.134 650.793 3.2191 609.814 2.62799 490.087
348.166 693.6 3.23357 603.476 2.72782 476.813
348.861 657.874 3.23726 594.25 2.74154 503.957
190.033 614.18 3.21613 580.943 2.63391 513.137
190.568 665.714 3.22471 614.113 2.61543 485.787
351.044 656.83 3.23306 619.598 2.74173 500.304
187.555 632.683 3.226 574.736 2.61675 509.935
187.962 664.169 3.22035 598.734 2.59924 482.415
353.256 650.119 3.22583 617.263 2.74016 497.444
185.051 632.034 3.22337 591.292 2.59488 507.636
185.325 662.617 3.21691 607.414 2.57552 479.993
355.491 622.354 3.20488 586.61 2.74885 495.391
355.749 587.976 3.20649 553.686 2.76398 523.083
182.53 653.482 3.23654 664.597 2.57269 506.252
182.668 702.497 3.24083 697.956 2.55116 478.533
357.742 606.504 3.19247 574.526 2.75229 494.155
357.871 574.027 3.19498 540.902 2.76764 521.918
180 657.662 3.23887 647.786 2.55147 505.79
180 711.635 3.24595 693.533 2.53216 478.046
177.47 682.819 3.25561 699.976 2.51876 506.252
177.332 730.67 3.25791 736.393 2.50203 478.533
174.949 712.693 3.27553 809.391 2.49714 507.636
174.675 739.922 3.26484 832.021 2.4793 479.993
172.445 678.917 3.25663 737.022 2.47951 509.935
172.038 714.178 3.25188 758.405 2.46731 482.415
169.967 677.344 3.25865 761.514 2.46662 513.137
169.432 722.312 3.26014 763.339 2.45693 485.787
167.523 656.369 3.24882 715.828 2.46057 517.224
166.866 705.195 3.25397 728.271 2.454 490.087
165.12 666.678 3.2602 720.055 2.46105 522.175
164.347 691.039 3.25025 722.149 2.45453 495.293
161.883 678.147 3.24796 694.753 2.45809 501.375
159.48 649.94 3.23613 679.143 2.45769 508.303
158.392 715.256 3.25231 735.343 2.44994 482.196
157.143 669.935 3.2566 734.983 2.45374 516.041
155.957 710.388 3.25738 756.476 2.44775 490.32
154.877 650.987 3.25206 724.866 2.44991 524.555
153.603 678.118 3.24588 742.629 2.44468 499.242
151.332 673.511 3.25219 741.307 2.43973 508.921
149.844 722.18 3.25863 815.005 2.42865 484.346
149.146 672.476 3.26131 799.256 2.43487 519.315
147.59 706.03 3.2595 842.879 2.42557 495.219
145.432 725.227 3.28228 788.42 2.42628 506.773
143.664 733.578 3.2647 802.676 2.42539 483.601
