# az ab Ms amp Vgr
307.945 149.423 3.2268 194.365 2.8929
308.811 158.238 3.25588 204.343 2.88959
309.665 164.364 3.27667 220.919 2.88617
310.508 181.933 3.32517 246.067 2.88197
251.858 199.783 3.36901 270.602 2.71758
252.679 340.453 3.59585 496.914 2.7335
253.512 415.508 3.6778 718.069 2.74112
254.358 336.038 3.58114 498.297 2.74223
309.944 171.763 3.29015 231.261 2.88411
310.79 188.234 3.33441 258.781 2.87974
311.624 199.182 3.36355 292.842 2.87587
312.446 201.921 3.37417 316.987 2.87376
250.662 80.2304 2.9707 145.487 2.79718
251.478 133.436 3.18681 168.548 2.70634
252.306 280.147 3.50419 375.312 2.72397
253.148 405.14 3.65977 672.727 2.73537
311.08 193.602 3.34107 272.322 2.87749
311.918 205.306 3.37125 306.811 2.87416
312.743 206.675 3.37892 321.304 2.87253
313.555 197.915 3.36499 313.358 2.87258
248.662 103.647 3.08508 143.981 2.80547
249.458 103.948 3.08128 143.229 2.78613
250.268 90.5561 3.0164 176.817 2.7904
251.091 81.848 2.96759 96.2595 2.70802
312.218 208.986 3.3735 318.36 2.87257
313.047 206.926 3.37409 322.887 2.87157
313.862 197.437 3.35868 307.139 2.872
314.663 183.034 3.33084 280.077 2.87224
247.456 104.576 3.08741 152.732 2.80986
248.246 103.25 3.07665 154.968 2.80417
249.049 106.612 3.08543 140.14 2.79715
249.866 97.6078 3.04205 186.567 2.78002
313.358 206.129 3.36705 321.497 2.87074
314.175 193.393 3.34443 300.196 2.87134
314.98 179.263 3.31664 271.823 2.87147
315.771 166.778 3.29053 246.084 2.8699
246.245 108.108 3.1005 158.178 2.81812
247.027 107.898 3.09428 151.938 2.81049
247.823 106.1 3.08168 154.694 2.80348
314.497 191.965 3.33594 292.098 2.87056
315.303 177.44 3.30704 262.503 2.87054
316.096 163.184 3.27601 237.547 2.86904
245.027 115.049 3.12638 163.008 2.82495
245.801 112.683 3.11183 163.407 2.81841
246.589 111.758 3.1028 157.639 2.81065
315.634 175.319 3.29665 253.06 2.86963
316.429 163.944 3.27297 232.695 2.86813
243.804 121.702 3.14986 162.206 2.83249
244.569 121.351 3.14293 167.944 2.82468
245.349 116.928 3.12119 169.21 2.81888
316.769 162.889 3.2651 231.922 2.86694
242.577 129.724 3.17686 176.298 2.83989
243.333 125.846 3.15785 165.746 2.83359
244.103 125.547 3.15105 167.227 2.82601
240.615 141.977 3.22156 179.512 2.85375
241.346 137.916 3.20294 178.848 2.84771
242.092 136.642 3.19294 181.759 2.84138
239.392 147.505 3.23799 185.003 2.86474
240.112 146.682 3.2294 183.083 2.85638
240.848 140.458 3.20446 179.612 2.84943
238.167 136.494 3.20435 167.593 2.87672
238.876 148.654 3.23512 180.95 2.86819
239.601 153.459 3.24268 193.057 2.85897
236.941 129.445 3.18158 167.916 2.88321
237.639 134.931 3.19318 170.288 2.87846
238.352 143.953 3.2149 177.81 2.87155
236.401 131.354 3.18187 163.368 2.88521
237.102 137.918 3.19653 176.105 2.87941
235.164 121.329 3.14796 159.469 2.89248
235.852 130.991 3.17459 165.681 2.88758
233.928 114.599 3.12396 151.028 2.89461
234.603 118.987 3.13351 158.529 2.89256
232.693 114.414 3.12427 159.627 2.89332
233.355 118.205 3.13153 160.767 2.89268
231.462 115.235 3.1286 151.743 2.88824
232.11 117.234 3.12906 161.235 2.88948
232.772 120.36 3.1335 164.585 2.88906
230.234 109.666 3.10853 146.961 2.88119
230.867 114.807 3.1213 149.251 2.88248
231.516 117.395 3.12388 156.18 2.88495
229.629 110.948 3.108 155.906 2.87484
230.263 115.928 3.11986 157.475 2.87613
228.396 108.413 3.09973 159.711 2.86524
229.015 111.181 3.10336 162.464 2.86769
227.168 104.278 3.08483 155.446 2.85568
227.772 107.803 3.09185 155.592 2.85848
225.947 97.8796 3.05952 125.962 2.85362
226.535 101.538 3.06794 148.608 2.85256
227.137 106.2 3.07992 156.196 2.85279
225.305 106.532 3.09111 102.335 2.84376
225.891 101.962 3.06446 133.379 2.84841
224.082 93.3133 3.03611 158.527 2.83539
224.653 110.755 3.10283 173.729 2.81981
222.868 226.264 3.42352 193.887 2.77163
223.422 128.951 3.17155 76.8483 2.75128
223.99 101.534 3.05993 161.423 2.8295
222.201 312.175 3.55839 408.536 2.7827
222.752 244.667 3.44468 210.527 2.76783
220.989 315.699 3.56634 490.671 2.78735
221.523 347.086 3.59955 524.705 2.78137
220.305 245.707 3.45274 359.318 2.78305
220.836 305.495 3.53927 478.802 2.78135
219.097 73.595 2.93258 79.0642 2.75777
