# dist ab Ms amp Vgr az
3222.16 44.996 3.13281 42.2737 2.87087 253.424
3206.29 46.1248 3.13998 38.9603 2.87056 253.846
3202.11 46.9887 3.14709 37.7395 2.87055 253.16
3186.2 47.3431 3.14674 41.8966 2.86917 253.585
3166.13 48.0596 3.14869 44.1185 2.86722 253.321
3150.32 49.1897 3.15516 42.8411 2.8666 253.751
3146.09 50.2839 3.16375 45.8749 2.86626 253.055
3130.23 50.1686 3.15911 45.6944 2.86507 253.488
3114.53 50.5671 3.15892 46.3515 2.86316 253.924
3110.17 51.8743 3.169 45.8454 2.86437 253.221
3094.43 51.3071 3.16058 48.1659 2.86144 253.66
3074.35 53.5027 3.17412 48.032 2.86126 253.393
3058.71 52.4167 3.16156 45.9524 2.85999 253.837
3054.3 53.6572 3.17069 47.4388 2.85978 253.124
3038.62 53.6477 3.16694 50.4742 2.85831 253.571
3018.55 55.0233 3.17322 52.3745 2.85599 253.301
3002.98 55.9604 3.17689 58.1474 2.85491 253.754
2998.51 56.495 3.17996 50.658 2.85398 253.029
2982.89 59.0355 3.19536 59.2111 2.85372 253.484
2967.44 60.4881 3.20224 47.4638 2.85415 253.944
2962.84 59.2983 3.19252 60.0038 2.8514 253.212
2947.33 61.846 3.20709 55.8419 2.85113 253.674
2927.25 63.1032 3.21102 63.6404 2.84873 253.402
2911.87 63.8322 3.21231 50.8277 2.85001 253.87
2907.21 61.9654 3.19829 60.5653 2.84631 253.127
2891.77 64.4887 3.2119 55.6269 2.84667 253.598
2871.7 64.7377 3.2087 61.1455 2.84359 253.322
2856.39 67.9986 3.22631 50.2304 2.8459 253.8
2851.66 64.3857 3.20145 62.5337 2.84051 253.044
2836.3 68.5368 3.22483 58.1378 2.84164 253.525
2816.24 69.1341 3.22367 67.2887 2.83709 253.246
2801 72.2669 3.23916 58.2757 2.84087 253.734
2780.92 72.4861 3.2355 58.8561 2.83609 253.456
2765.81 76.1274 3.25303 62.9986 2.83868 253.951
2760.86 74.403 3.24184 73.0912 2.83076 253.174
2745.7 78.7528 3.26273 64.227 2.83489 253.673
2725.63 80.3567 3.26645 65.1644 2.82984 253.391
2710.6 83.3785 3.2787 67.1531 2.83305 253.897
2705.58 81.5964 3.26805 78.0194 2.82425 253.106
2690.5 83.6272 3.2749 66.7134 2.82868 253.615
2670.43 86.9439 3.28669 77.6634 2.82242 253.331
2655.48 88.0327 3.28828 75.9201 2.82791 253.848
2650.39 87.2137 3.28292 73.4436 2.81839 253.043
2635.39 89.7135 3.29134 73.0541 2.82311 253.563
2615.32 92.5633 3.29975 82.0557 2.81612 253.275
2600.47 94.7301 3.30595 85.9826 2.82244 253.804
2580.38 97.9391 3.3152 84.7763 2.81687 253.516
2560.32 103.559 3.33418 91.2767 2.80944 253.224
2545.55 103.029 3.32808 92.8238 2.8161 253.765
2525.46 111.225 3.35602 101.723 2.81081 253.474
2505.41 120.211 3.38444 126.014 2.80317 253.179
2490.73 115.673 3.36382 102.694 2.81086 253.733
2470.65 123.776 3.38785 101.83 2.8045 253.438
2450.6 133.541 3.41543 142.929 2.80124 253.14
2436.02 130.286 3.40077 110.969 2.80561 253.707
2415.94 143.409 3.437 112.422 2.79726 253.409
2401.52 135.626 3.40883 112.922 2.80679 253.985
2395.89 159.508 3.47772 192.782 2.79795 253.107
2381.41 148.269 3.44202 124.776 2.80136 253.687
2361.34 159.977 3.46948 134.567 2.79438 253.386
2347.02 148.122 3.43207 120.934 2.80185 253.977
2341.29 176.559 3.50675 203.765 2.79429 253.08
2326.92 166.023 3.47602 139.478 2.79583 253.675
2306.84 182.871 3.51237 190.115 2.79331 253.37
2292.63 161.805 3.45521 119.793 2.79925 253.976
2286.79 197.508 3.54015 220.723 2.79027 253.061
2272.53 179.966 3.49571 132.276 2.79137 253.671
2252.45 197.015 3.5293 164.762 2.7858 253.362
2238.36 171.601 3.46529 140.182 2.79488 253.984
2232.41 212.489 3.55639 220.985 2.7838 253.049
2218.25 197.598 3.52076 137.888 2.78615 253.675
2198.17 216.84 3.5553 146.706 2.77816 253.363
2178.13 237.048 3.58815 228.023 2.77699 253.045
2164.09 213.041 3.53766 152.877 2.78091 253.689
2144.01 240.522 3.58443 154.501 2.77294 253.372
2123.97 259.808 3.61198 210.541 2.76868 253.051
2110.05 232.928 3.5604 212.865 2.77581 253.712
2089.97 276.835 3.62937 181.467 2.77064 253.391
2069.92 299.418 3.65737 201.103 2.76413 253.065
2056.12 245.16 3.56635 217.009 2.76599 253.745
2036.04 299.014 3.64645 237.695 2.76295 253.42
2015.99 331.347 3.68487 288.39 2.76089 253.09
2002.33 267.735 3.58806 274.81 2.76087 253.79
1982.24 336.727 3.68138 328.296 2.76134 253.461
1962.19 374.049 3.72074 421.387 2.76015 253.127
1948.66 298.445 3.6184 322.228 2.75908 253.847
1928.57 358.915 3.69215 412.74 2.76077 253.514
1908.51 395.277 3.72764 536.05 2.75901 253.175
1895.12 314.129 3.62354 300.719 2.75923 253.918
1875.02 365.951 3.68334 494.742 2.76038 253.58
1854.96 385.745 3.69966 581.525 2.75719 253.236
1821.62 385.867 3.68879 571.577 2.75777 253.66
1801.54 400.528 3.69829 648.388 2.75302 253.312
1768.35 387.293 3.67251 615.353 2.75366 253.757
1748.27 397.835 3.67732 668.028 2.74817 253.404
1728.22 384.11 3.65518 622.303 2.74182 253.044
1715.23 407.072 3.6759 667.964 2.7462 253.87
1695.13 415.508 3.6778 718.069 2.74112 253.512
1675.08 405.14 3.65977 672.727 2.73537 253.148
1642.15 421.783 3.66553 739.066 2.73431 253.639
1622.08 420.002 3.65647 709.428 2.72855 253.269
1589.31 439.228 3.66396 779.901 2.72303 253.787
1569.23 459.356 3.676 804.942 2.71784 253.411
1549.18 432.779 3.64264 689.175 2.71155 253.029
1536.64 397.966 3.60151 713.601 2.71016 253.957
1516.54 432.267 3.6298 780.634 2.70395 253.576
1496.48 439.937 3.62976 742.045 2.69935 253.188
1464.02 390.784 3.56572 683.464 2.6896 253.766
1443.93 413.008 3.58184 701.756 2.6851 253.371
1411.66 350.534 3.49775 579.931 2.67485 253.983
1391.56 396.073 3.54266 670.704 2.67236 253.583
1371.5 435.622 3.57579 737.763 2.6676 253.173
1339.37 340.13 3.45499 539.122 2.66202 253.825
1319.28 390.362 3.50635 631.076 2.66061 253.409
1267.25 426.947 3.52285 616.31 2.65259 253.679
1247.18 473.337 3.55881 732.749 2.65405 253.246
1215.41 358.225 3.42358 575.686 2.65984 253.989
1195.31 375.498 3.43488 585.663 2.66154 253.549
1175.26 391.612 3.44387 593.204 2.66475 253.097
1143.65 388.905 3.42602 474.783 2.66928 253.895
1123.56 416.489 3.44617 507.113 2.66787 253.435
1072.08 440.589 3.44534 617.668 2.67073 253.825
1052 461.739 3.45558 654.537 2.67477 253.344
1000.71 412.074 3.37956 487.5 2.69673 253.783
980.632 435.786 3.39314 505.626 2.69894 253.278
929.539 446.069 3.37516 568.196 2.70697 253.776
909.464 442.609 3.36038 560.205 2.71299 253.244
858.578 475.767 3.36189 534.392 2.735 253.813
838.501 469.206 3.34366 522.477 2.74527 253.25
787.837 467.628 3.31029 521.644 2.76759 253.905
767.752 471.233 3.30049 514.499 2.77671 253.307
697.225 495.746 3.27391 531.296 2.78734 253.431
626.934 529.092 3.24929 541.419 2.78382 253.644
556.898 590.125 3.23853 588.919 2.7662 253.979
536.815 605.351 3.23171 587.77 2.75694 253.196
467.011 706.851 3.23182 652.303 2.71871 253.635
377.402 853.892 3.21274 760.685 2.65535 253.296
