# dist ab Ms amp Vgr az
4328.3 24.9699 3.10498 17.4244 2.88227 253.976
4308.19 24.7401 3.09715 18.1789 2.86354 253.746
4288.11 26.4707 3.12269 32.0172 2.86298 253.515
4270.84 25.8444 3.109 20.8577 2.87043 253.827
4268.04 29.6307 3.16784 51.6947 2.86875 253.282
4250.75 27.2058 3.12746 19.4699 2.86265 253.595
4233.54 26.2246 3.10821 22.7277 2.88214 253.911
4248 29.4114 3.16078 61.2166 2.87178 253.048
4230.67 30.8448 3.17813 25.8045 2.86775 253.362
4213.44 28.4137 3.13916 18.9226 2.8821 253.679
4196.3 26.6319 3.10773 26.513 2.88057 253.998
4210.63 31.3179 3.18089 44.8466 2.86892 253.128
4193.36 27.0442 3.11384 23.9954 2.85348 253.445
4176.18 28.2602 3.12962 24.2577 2.88134 253.765
4173.3 30.8838 3.16762 28.724 2.8622 253.21
4156.09 26.0569 3.09048 22.0318 2.85334 253.531
4138.98 28.637 3.12816 27.6142 2.87987 253.854
4136.03 28.2864 3.12224 26.5824 2.85281 253.295
4118.88 29.6095 3.13875 26.1039 2.88036 253.619
4101.84 28.5754 3.11999 24.2646 2.87894 253.946
4115.99 32.1413 3.17382 26.1887 2.86211 253.058
4098.81 32.3667 3.1735 20.3071 2.87279 253.383
4081.73 29.6513 3.1321 28.9213 2.87846 253.71
4078.76 35.362 3.20801 1.35111 2.87144 253.146
4061.65 30.9272 3.14646 27.7978 2.87904 253.474
4044.63 30.193 3.13267 24.8766 2.87622 253.805
4041.59 33.0551 3.17141 24.3384 2.87895 253.236
4024.54 31.6352 3.14897 31.1946 2.87637 253.567
4007.59 30.3204 3.12719 17.6908 2.88019 253.902
4004.47 33.5345 3.17032 30.4303 2.87768 253.329
3987.49 32.1209 3.14825 22.7602 2.8779 253.664
3984.43 35.4855 3.1909 27.9285 2.87724 253.089
3967.41 33.472 3.16215 33.2171 2.87596 253.425
3950.5 32.2839 3.14308 21.3125 2.88041 253.764
3947.36 34.929 3.17665 24.467 2.87578 253.184
3930.41 34.2668 3.16495 24.1896 2.87703 253.524
3913.57 31.7511 3.12845 24.9166 2.88141 253.867
3910.35 35.104 3.1714 36.4171 2.87421 253.283
3893.47 33.4522 3.14707 24.3488 2.87953 253.627
3876.7 31.8349 3.12217 21.6711 2.8793 253.973
3890.31 37.152 3.19199 37.059 2.87461 253.04
3873.39 34.6141 3.15785 29.0667 2.8716 253.385
3856.59 33.2514 3.13701 27.276 2.88015 253.732
3853.35 37.6633 3.19046 38.6176 2.87216 253.142
3836.5 35.4624 3.16089 25.6589 2.87761 253.49
3819.77 33.3563 3.13089 25.0586 2.8786 253.841
3816.44 38.1887 3.18897 25.4335 2.8736 253.246
3799.68 34.1876 3.13748 20.1341 2.87671 253.599
3783.02 33.2431 3.12191 32.5869 2.87977 253.954
3796.41 40.9444 3.21514 39.4912 2.87122 253.001
3779.61 38.2786 3.18246 25.9083 2.87603 253.354
3762.91 34.7001 3.13641 31.9115 2.87816 253.711
3759.56 42.3399 3.22214 26.9071 2.8738 253.109
3742.83 38.3104 3.17526 27.5672 2.87672 253.466
3726.22 33.9332 3.11913 25.2256 2.87607 253.826
3722.77 41.9546 3.21058 24.6865 2.8755 253.22
3706.12 37.6748 3.1604 29.3784 2.87664 253.581
3689.59 35.6784 3.13332 33.3963 2.87813 253.946
3686.05 41.3418 3.19656 27.7147 2.87634 253.334
3669.48 38.7575 3.16508 30.8854 2.87712 253.7
3666.01 43.1463 3.21094 30.0565 2.87482 253.086
3649.4 41.5503 3.1911 31.9683 2.87696 253.453
3632.91 37.9573 3.14836 33.0129 2.87733 253.823
3629.34 43.4454 3.20626 32.5585 2.87511 253.204
3612.81 41.3572 3.18139 31.669 2.87741 253.575
3596.41 40.0114 3.16356 38.2886 2.87801 253.949
3592.75 41.8059 3.18184 31.6746 2.87596 253.325
3576.3 41.6746 3.17699 38.3305 2.87814 253.701
3572.7 44.0661 3.20046 32.8896 2.87522 253.074
3556.22 43.1575 3.18791 37.7509 2.87786 253.451
3539.86 42.0467 3.1731 43.2101 2.87899 253.832
3536.16 43.4576 3.18665 35.5657 2.87654 253.199
3519.76 41.139 3.15933 29.8264 2.8768 253.581
3503.49 41.7611 3.16236 33.275 2.87796 253.966
3499.69 41.5573 3.15942 38.4129 2.87447 253.329
3483.38 43.3327 3.17408 34.6079 2.87797 253.715
3479.65 43.6696 3.17664 41.6299 2.8741 253.075
3463.29 44.2043 3.17839 38.0157 2.87708 253.463
3447.07 43.6117 3.16902 34.8336 2.8789 253.854
3443.24 44.4425 3.17638 36.3677 2.87649 253.208
3426.97 43.0332 3.15885 38.7192 2.87706 253.601
3410.84 43.709 3.16211 36.6785 2.87969 253.997
3406.9 43.6024 3.16019 43.6485 2.8763 253.346
3390.73 43.7806 3.15842 35.2835 2.87892 253.743
3386.86 45.7947 3.17711 33.8365 2.87935 253.088
3370.64 42.7805 3.14398 38.5534 2.87728 253.488
3354.56 43.8107 3.15077 34.9871 2.8784 253.891
3350.58 42.3563 3.13523 41.8941 2.87712 253.23
3334.46 42.2401 3.13048 39.378 2.87653 253.635
3314.39 41.7726 3.12119 38.7612 2.87659 253.377
3298.36 43.1581 3.1318 35.4823 2.87659 253.786
3294.34 43.7218 3.13654 39.9232 2.87601 253.117
3278.27 42.7996 3.12369 34.7081 2.87662 253.528
3262.35 43.7013 3.12918 37.6242 2.87372 253.943
3258.21 44.0627 3.13183 40.3991 2.87278 253.267
3242.24 43.2427 3.12008 39.5387 2.87264 253.684
3238.17 46.0206 3.14621 45.247 2.87109 253.005
